127.0.0.1 - - [25/Apr/2022:20:53:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:53:47 +0530] "GET /orsproject4/ HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:53:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:53:53 +0530] "GET /orsproject4/WelcomeCtl HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:53:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:53:55 +0530] "GET /orsproject4/LoginCtl HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:53:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:54:04 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:54:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:54:13 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:54:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:54:31 +0530] "GET /orsproject4/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:54:31 +0530] "GET /orsproject4/ErrorCtl HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:56:25 +0530] "GET /orsproject4/ErrorCtl HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [25/Apr/2022:20:56:26 +0530] "GET /orsproject4/ErrorCtl HTTP/1.1" 200 774
