0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:58 +0530] "GET /orsproject4/ctl/TimeTableListCtl HTTP/1.1" 200 8878
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:00 +0530] "GET /orsproject4/ctl/TimeTableCtl HTTP/1.1" 500 3499
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:12 +0530] "GET /orsproject4/ctl/StudentListCtl HTTP/1.1" 200 8804
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:20 +0530] "GET /orsproject4/ctl/CourseListCtl HTTP/1.1" 200 13006
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:26 +0530] "POST /orsproject4/ctl/CourseListCtl HTTP/1.1" 200 9397
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:30 +0530] "GET /orsproject4/ctl/StudentCtl HTTP/1.1" 200 9344
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:30 +0530] "GET /orsproject4/ctl/src/main/webapp/js/calendar.js HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:58:19 +0530] "GET /orsproject4/ctl/UserListCtl HTTP/1.1" 200 9843
0:0:0:0:0:0:0:1 - - [06/May/2022:13:58:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:59:12 +0530] "GET /orsproject4/ctl/GetMarksheetCtl HTTP/1.1" 200 6125
0:0:0:0:0:0:0:1 - - [06/May/2022:13:59:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:59:19 +0530] "GET /orsproject4/ctl/ChangePasswordCtl HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [06/May/2022:13:59:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:59:44 +0530] "GET /orsproject4/ctl/MyProfileCtl HTTP/1.1" 200 8556
0:0:0:0:0:0:0:1 - - [06/May/2022:13:59:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:14:00:21 +0530] "GET /orsproject4/LoginCtl?operation=logout HTTP/1.1" 200 4739
0:0:0:0:0:0:0:1 - - [06/May/2022:14:00:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:14:00:29 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2022:14:00:29 +0530] "GET /orsproject4/UserRegistrationCtl HTTP/1.1" 200 7652
0:0:0:0:0:0:0:1 - - [06/May/2022:14:00:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
