127.0.0.1 - - [25/May/2022:21:24:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/May/2022:21:24:28 +0530] "GET /orsproject4/ HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [25/May/2022:21:24:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:47 +0530] "GET /orsproject4/ HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:50 +0530] "GET /orsproject4/WelcomeCtl HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:52 +0530] "GET /orsproject4/LoginCtl HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:54 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:57 +0530] "GET /orsproject4/doc/index.html HTTP/1.1" 200 2998
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:57 +0530] "GET /orsproject4/doc/allclasses-frame.html HTTP/1.1" 200 10894
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:57 +0530] "GET /orsproject4/doc/overview-frame.html HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:57 +0530] "GET /orsproject4/doc/overview-summary.html HTTP/1.1" 200 4969
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:57 +0530] "GET /orsproject4/doc/stylesheet.css HTTP/1.1" 200 13416
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:57 +0530] "GET /orsproject4/doc/script.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:57 +0530] "GET /orsproject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:57 +0530] "GET /orsproject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [25/May/2022:21:29:57 +0530] "GET /orsproject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [25/May/2022:21:30:02 +0530] "GET /orsproject4/doc/in/co/rays/proj4/bean/package-summary.html HTTP/1.1" 200 8148
0:0:0:0:0:0:0:1 - - [25/May/2022:21:30:02 +0530] "GET /orsproject4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:21:30:02 +0530] "GET /orsproject4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:21:30:02 +0530] "GET /orsproject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [25/May/2022:21:30:10 +0530] "GET /orsproject4/doc/in/co/rays/proj4/bean/BaseBean.html HTTP/1.1" 200 21270
0:0:0:0:0:0:0:1 - - [25/May/2022:21:30:10 +0530] "GET /orsproject4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:21:30:10 +0530] "GET /orsproject4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:21:30:10 +0530] "GET /orsproject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [25/May/2022:21:30:11 +0530] "GET /orsproject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 809
